NAME,FACTION,LORE,WARSCROLL,CV,RANGE,RULES
Soul Cage,Nighthaunt,Lore of the Underworlds,,7,"12""","Soul Cage is a spell that has a casting value of 7 and a range of 12"". If successfully cast, pick 1 enemy unit within range and visible to the caster. The strike-last effect applies to that unit until the end of that turn. "
Spirit Drain,Nighthaunt,Lore of the Underworlds,,7,"18""","Spirit Drain is a spell that has a casting value of 7 and a range of 18"". If successfully cast, pick 1 enemy unit within range and visible to the caster. Roll a number of dice equal to the number of models in the target unit. For each 6, that unit suffers 1 mortal wound."
Lifestealer,Nighthaunt,Lore of the Underworlds,,7,"12""","Lifestealer is a spell that has a casting value of 7 and a range of 12"". If successfully cast, pick 1 enemy unit within range and visible to the caster. The target suffers D3 mortal wounds. You can heal 1 wound allocated to the caster for each mortal wound that was allocated (and not negated) by this spell."
More-more-more Warp Power!,Skaven,Lore of Warpvolt Galvanism,,7,"13""","More-more-more Warp Power! is a spell that has a casting value of 7 and a range of 13"". If successfully cast, pick 1 friendly Clans Skryre unit wholly within range and visible to the caster. Add 1 to hit rolls and wound rolls for attacks made by that unit until your next hero phase. However, that unit suffers D3 mortal wounds at the end of your next hero phase."
Chain Warp Lightning,Skaven,Lore of Warpvolt Galvanism,,7,"13""","Chain Warp Lightning is a spell that has a casting value of 7 and a range of 13"". If successfully cast, each unit within range suffers 1 mortal wound."
Warp Lightning Shield,Skaven,Lore of Warpvolt Galvanism,,6,,"Warp Lightning Shield is a spell that has a casting value of 6. If successfully cast, until your next hero phase, the first 3 wounds caused to the caster in each phase are negated. If a fourth wound is caused to the caster in the same phase, then the caster suffers 3 mortal wounds and this spell is unbound (the first 3 wounds caused in that phase are still negated)."
Wings of Fire,Hammerhal,Lore of Cinder,,6,,"Wings of Fire has a casting value of 6. If successfully cast, pick 1 friendly unit that is visible to the caster. Add 1 to run and charge rolls for that unit until the start of your next hero phase. In addition, until the start of your next hero phase, that unit can fly."
Cindercloud,Hammerhal,Lore of Cinder,,7,,"Cindercloud has a casting value of 7. If successfully cast, until the start of your next hero phase, subtract 1 from hit rolls for attacks that target friendly units wholly within 9"" of the caster."
Twin-tailed Comet,Hammerhal,Lore of Cinder,,7,,"Twin-tailed Comet has a casting value of 7. If successfully cast, pick 1 enemy unit within 18"" of the caster that is visible to them. That unit suffers D3 mortal wounds. If that unit has 10 or more models, it suffers D6 mortal wounds instead."
Fiery Whirlwind,Ogor Mawtribes,Lore of the Sun-Eater,,6,"12""","Fiery Whirlwind is a spell that has a casting value of 6 and a range of 12"". If successfully cast, pick 1 enemy unit and roll a dice for each model in that unit within range and visible to the caster. If that unit has only 1 model, roll 3 dice instead of 1. For each 4+, that unit suffers 1 mortal wound."
Lifesurge,Living City,Lore of Leaves,,6,,"Lifesurge has a casting value of 6. If successfully cast, pick 1 friendly model within 18"" of the caster that is visible to them. You can heal up to D6 wounds allocated to that model."
Cage of Thorns,Living City,Lore of Leaves,,7,,"Cage of Thorns has a casting value of 7. If successfully cast, pick 1 enemy unit within 18"" of the caster that is visible to them. Halve the Move characteristic of that unit until the start of your next hero phase. In addition, until the start of your next hero phase, the first time that unit moves, it suffers D6 mortal wounds."
Ironoak Skin,Living City,Lore of Leaves,,6,,"Ironoak Skin has a casting value of 6. If successfully cast, pick 1 friendly unit wholly within 18"" of the caster that is visible to them.
Subtract 1 from wound rolls for attacks that target that unit until the start of your next hero phase."
Descending Ash Cloud,Greywater Fastness,Lore of Smog,,6,,"Descending Ash Cloud has a casting value of 6. If successfully cast, pick 1 enemy unit within 18"" of the caster that is visible to them. Subtract 1 from hit rolls for attacks made by that unit until the start of your next hero phase."
Eroding Blast,Greywater Fastness,Lore of Smog,,6,,"Eroding Blast has a casting value of 6. If successfully cast, pick 1 terrain feature wholly within 18"" of the caster that is visible to them. Roll 1 dice for each model within 1"" of that terrain feature. For each 5+, that model’s unit suffers 1 mortal wound. In addition, until your next hero phase, that terrain feature has the Deadly scenery rule in addition to any other scenery rules it may have (core rules, 28.1.3)."
Choking Fumes,Greywater Fastness,Lore of Smog,,6,,"Choking Fumes has a casting value of 6. If successfully cast, pick 1 enemy unit within 15"" of the caster that is visible to them. Roll 1 dice for each model from that unit that is within 15"" of the caster. For each 5+, that unit suffers 1 mortal wound."
Amber Tide,Phoenicium,Lore of the Phoenix,,6,,"Amber Tide has a casting value of 6. If successfully cast, pick 1 enemy unit within 18"" of the caster that is visible to them. Until the start of your next hero phase, halve that unit’s Move characteristic."
Phoenix Cry,Phoenicium,Lore of the Phoenix,,5,,"Phoenix Cry has a casting value of 5. If successfully cast, until the start of your next hero phase, subtract 1 from the Bravery characteristic of enemy units while they are within 18"" of the caster."
Living Fissure,Lumineth Realm-lords,Lore of the High Peaks,,7,"18""","Living Fissure is a spell that has a casting value of 7 and a range of 18"". If successfully cast, pick 1 point on the battlefield within range of the caster that is visible to them and draw a straight line between that point and the closest part of the caster’s base. Roll a dice for each unit that has models passed across by this line. On a 2+, that unit suffers D3 mortal wounds."
Golden Mist,Phoenicium,Lore of the Phoenix,,6,,"Golden Mist has a casting value of 6. If successfully cast, you can heal D3 wounds allocated to each friendly Phoenicium unit within 12"" of the caster that is visible to them."
Steed of Shadows,Har Kuron,Lore of Umbral Spite,,6,,"Steed of Shadows has a casting value of 6. If successfully cast, until your next hero phase, the caster can fly and has a Move characteristic of 16""."
Pit of Shades,Har Kuron,Lore of Umbral Spite,,7,,"Pit of Shades has a casting value of 7. If successfully cast, pick 1 enemy unit within 18"" of the caster that is visible to them and roll 2D6. If the roll is higher than that unit’s Move characteristic, it suffers a number of mortal wounds equal to the difference between its Move characteristic and the roll."
Shadow Daggers,Har Kuron,Lore of Umbral Spite,,7,,"Shadow Daggers has a casting value of 7. If successfully cast, pick 1 enemy unit within 9"" of the caster that is visible to them. That unit suffers D6 mortal wounds."
Sap Strength,Har Kuron,Lore of Umbral Spite,,6,,"Sap Strength has a casting value of 6. If successfully cast, pick 1 enemy unit within 18"" of the caster that is visible to them. Subtract 1 from hit rolls for attacks made by that unit until the start of your next hero phase."
The Withering,Har Kuron,Lore of Umbral Spite,,7,,"The Withering has a casting value of 7. If successfully cast, pick 1 enemy unit within 18"" of the caster that is visible to them. Until the start of your next hero phase, add 1 to wound rolls for attacks that target that unit."
Vitriolic Spray,Har Kuron,Lore of Umbral Spite,,8,,"Vitriolic Spray has a casting value of 8. If successfully cast, pick 1 enemy unit within 6"" of the caster that is visible to them. Until the start of your next hero phase, that unit has a Save characteristic of ‘-’."
Shadow Daggers,Anvilgard,Lore of Dark Sorcery,,7,,"Shadow Daggers has a casting value of 7. If successfully cast, pick 1 enemy unit within 9"" of the caster that is visible to them. That unit suffers D6 mortal wounds."
Titanic Fury,Beasts of Chaos,Lore of the Twisted Wilds,,6,"12""","Titanic Fury is a spell that has a casting value of 6 and a range of 12"". If successfully cast, pick 1 friendly Beasts of Chaos Monster wholly within range and visible to the caster. Until your next hero phase, add 1 to the Attacks characteristic of that Monster’s melee weapons."
Drain Magic,Settler's Gain,Lore of Illumination,,6,,"Drain Magic has a casting value of 6. If successfully cast, until your next hero phase, subtract 2 from casting, dispelling and unbinding rolls for Wizards within 12"" of the caster."
Shield of Light,Settler's Gain,Lore of Illumination,,6,,"Shield of Light has a casting value of 6. If successfully cast, pick 1 friendly unit wholly within 12"" of the caster. Until your next hero phase, roll a dice each time you allocate a wound or mortal wound to that unit. On a 6, that wound or mortal wound is negated."
Illuminate ,Settler's Gain,Lore of Illumination,,6,,"Illuminate has a casting value of 6. If successfully cast, pick 1 enemy unit within 12"" of the caster that is visible to them. Until your next hero phase, add 1 to hit rolls for attacks made with missile weapons that target that unit."
Bolt of Tzeentch,Disciples of Tzeentch,Lore of Change,,,"18""","Bolt of Tzeentch is a spell with a casting value of 7 and a range of 18"". If successfully cast, pick 1 enemy unit within range and visible to the caster. That unit suffers D6 mortal wounds. This spell cannot be cast more than once per turn, even though it appears in both the Lore of Fate and the Lore of Change."
Treason of Tzeentch,Disciples of Tzeentch,Lore of Change,,7,"18""","Treason of Tzeentch is a spell that has a casting value of 7 and a range of 18"". If successfully cast, pick 1 enemy unit that has 2 or more models and is wholly within range and visible to the caster. Roll a number of dice equal to the number of models in that unit. For each 6, that unit suffers 1 mortal wound. In addition, subtract 1 from hit rolls for attacks made by that unit until your next hero phase."
Da Black Pit,Kruleboyz,Lore of the Swamp,,7,"12""","Da Black Pit is a spell that has a casting value of 7 and a range of 12"". If successfully cast, pick 1 enemy unit within range and visible to the caster. Roll a dice for each model in that unit. For each 6, and
for each other roll that is equal to or greater than that unit’s Save characteristic, that unit suffers 1 mortal wound."
The Amber Spear,Excelsis,Lore of the Ghurish Heartlands,,6,,"The Amber Spear has a casting value of 6. If successfully cast, pick a point on the battlefield within 12"" of the caster that is visible to them and draw an imaginary straight line 1mm wide between that point and the closest point on the caster’s base. Each unit other than the caster that has any models passed across by this line suffers 1 mortal wound."
Flock of Doom,Excelsis,Lore of the Ghurish Heartlands,,6,,"Flock of Doom has a casting value of 6. If successfully cast, pick 1 enemy unit within 18"" of the caster that is visible to them and roll 12 dice. For each 6, that enemy unit suffers 1 mortal wound."
Cower,Excelsis,Lore of the Ghurish Heartlands,,6,,"Cower has a casting value of 6. If successfully cast, pick 1 enemy Monster within 12"" of the caster that is visible to them and roll 2D6. If the roll is higher than that Monster’s Bravery characteristic, that Monster cannot make a charge move in your opponent’s next turn."
Choking Mist,Kruleboyz,Lore of the Swamp,,7,"24""","Choking Mist is a spell that has a casting value of 7 and a range of 24"". If successfully cast, pick a point on the battlefield within range and visible to the caster. All units within 6"" of that point are affected by choking mist until the start of your next hero phase. While a unit is affected by choking mist, subtract 1 from the Attacks characteristic of melee weapons used by it (to a minimum of 1), and it cannot run."
Sneaky Miasma,Kruleboyz,Lore of the Swamp,,6,"18""","Sneaky Miasma is a spell that has a casting value of 6 and a range of 18"". If successfully cast, pick 1 friendly Kruleboyz Monster within range and visible to the caster. That Monster can make a normal move."
